Time,TemperatureC,DewpointC,PressurehPa,WindDirection,WindDirectionDegrees,WindSpeedKMH,WindSpeedGustKMH,Humidity,HourlyPrecipMM,Conditions,Clouds,dailyrainMM,SoftwareType,SolarRadiationWatts/m^2,DateUTC
2026-07-22 00:04:00,15.7,13.0,1026.9,North,7,6,11,84,0.00,unknown,unknown,0.00,0.00,unknown,2026-07-21T23:04:00Z
2026-07-22 00:09:00,15.7,13.0,1026.8,WNW,285,6,11,84,0.00,unknown,unknown,0.00,0.00,unknown,2026-07-21T23:09:00Z
2026-07-22 00:14:00,15.6,12.9,1026.8,NE,52,6,11,84,0.00,unknown,unknown,0.00,0.00,unknown,2026-07-21T23:14:00Z
2026-07-22 00:19:00,15.6,12.9,1026.8,NW,326,5,11,84,0.00,unknown,unknown,0.00,0.00,unknown,2026-07-21T23:19:00Z
2026-07-22 00:24:00,15.6,12.9,1026.8,SW,231,1,8,84,0.00,unknown,unknown,0.00,0.00,unknown,2026-07-21T23:24:00Z
2026-07-22 00:29:00,15.6,12.9,1026.8,West,277,4,8,84,0.00,unknown,unknown,0.00,0.00,unknown,2026-07-21T23:29:00Z
2026-07-22 00:34:00,15.5,12.8,1026.7,NNW,337,5,11,84,0.00,unknown,unknown,0.00,0.00,unknown,2026-07-21T23:34:00Z
2026-07-22 00:39:00,15.5,12.8,1026.8,SSW,212,1,11,84,0.00,unknown,unknown,0.00,0.00,unknown,2026-07-21T23:39:00Z
2026-07-22 00:44:00,15.4,12.7,1026.9,NW,312,5,11,84,0.00,unknown,unknown,0.00,0.00,unknown,2026-07-21T23:44:00Z
2026-07-22 00:49:00,15.4,12.7,1026.8,NW,321,4,13,84,0.00,unknown,unknown,0.00,0.00,unknown,2026-07-21T23:49:00Z
2026-07-22 00:54:00,15.4,12.7,1026.9,NNW,330,5,13,84,0.00,unknown,unknown,0.00,0.00,unknown,2026-07-21T23:54:00Z
2026-07-22 00:59:00,15.4,12.7,1026.6,WNW,298,4,8,84,0.00,unknown,unknown,0.00,0.00,unknown,2026-07-21T23:59:00Z
2026-07-22 01:04:00,15.4,12.7,1026.8,West,275,6,8,84,0.00,unknown,unknown,0.00,0.00,unknown,2026-07-22T00:04:00Z
2026-07-22 01:09:00,15.5,12.8,1026.7,North,3,4,8,84,0.00,unknown,unknown,0.00,0.00,unknown,2026-07-22T00:09:00Z
2026-07-22 01:14:00,15.4,12.7,1026.7,NNE,18,4,8,84,0.00,unknown,unknown,0.00,0.00,unknown,2026-07-22T00:14:00Z
2026-07-22 01:19:00,15.5,12.8,1026.7,West,265,3,6,84,0.00,unknown,unknown,0.00,0.00,unknown,2026-07-22T00:19:00Z
2026-07-22 01:24:00,15.5,12.8,1026.5,NNE,26,1,6,84,0.00,unknown,unknown,0.00,0.00,unknown,2026-07-22T00:24:00Z
2026-07-22 01:29:00,15.5,12.8,1026.6,North,11,1,6,84,0.00,unknown,unknown,0.00,0.00,unknown,2026-07-22T00:29:00Z
2026-07-22 01:34:00,15.5,12.8,1026.6,North,354,2,6,84,0.00,unknown,unknown,0.00,0.00,unknown,2026-07-22T00:34:00Z
2026-07-22 01:39:00,15.5,12.8,1026.6,NW,322,2,6,84,0.00,unknown,unknown,0.00,0.00,unknown,2026-07-22T00:39:00Z
2026-07-22 01:44:00,15.6,12.7,1026.8,NNW,340,5,11,83,0.00,unknown,unknown,0.00,0.00,unknown,2026-07-22T00:44:00Z
2026-07-22 01:49:00,15.6,12.8,1026.5,SE,140,4,13,84,0.00,unknown,unknown,0.00,0.00,unknown,2026-07-22T00:49:00Z
2026-07-22 01:54:00,15.5,12.8,1026.6,NNW,329,8,13,84,0.00,unknown,unknown,0.00,0.00,unknown,2026-07-22T00:54:00Z
2026-07-22 01:59:00,15.5,12.8,1026.7,NNW,332,5,11,84,0.00,unknown,unknown,0.00,0.00,unknown,2026-07-22T00:59:00Z
2026-07-22 02:04:00,15.5,12.8,1026.4,North,6,4,11,84,0.00,unknown,unknown,0.00,0.00,unknown,2026-07-22T01:04:00Z
2026-07-22 02:09:00,15.5,12.8,1026.6,ENE,59,5,8,84,0.00,unknown,unknown,0.00,0.00,unknown,2026-07-22T01:09:00Z
2026-07-22 02:14:00,15.5,12.8,1026.5,NNE,30,2,8,84,0.00,unknown,unknown,0.00,0.00,unknown,2026-07-22T01:14:00Z
2026-07-22 02:19:00,15.5,12.8,1026.5,NW,325,1,8,84,0.00,unknown,unknown,0.00,0.00,unknown,2026-07-22T01:19:00Z
2026-07-22 02:24:00,15.5,12.8,1026.5,NW,308,6,11,84,0.00,unknown,unknown,0.00,0.00,unknown,2026-07-22T01:24:00Z
2026-07-22 02:29:00,15.4,12.7,1026.5,West,270,1,11,84,0.00,unknown,unknown,0.00,0.00,unknown,2026-07-22T01:29:00Z
2026-07-22 02:34:00,15.4,12.7,1026.2,SSE,166,2,11,84,0.00,unknown,unknown,0.00,0.00,unknown,2026-07-22T01:34:00Z
2026-07-22 02:39:00,15.4,12.7,1026.3,North,351,4,8,84,0.00,unknown,unknown,0.00,0.00,unknown,2026-07-22T01:39:00Z
2026-07-22 02:44:00,15.4,12.7,1026.3,NNW,342,8,13,84,0.00,unknown,unknown,0.00,0.00,unknown,2026-07-22T01:44:00Z
2026-07-22 02:49:00,15.4,12.7,1026.2,WNW,294,4,13,84,0.00,unknown,unknown,0.00,0.00,unknown,2026-07-22T01:49:00Z
2026-07-22 02:54:00,15.4,12.7,1026.2,NW,317,4,11,84,0.00,unknown,unknown,0.00,0.00,unknown,2026-07-22T01:54:00Z
2026-07-22 02:59:00,15.4,12.5,1026.3,NNE,24,2,11,83,0.00,unknown,unknown,0.00,0.00,unknown,2026-07-22T01:59:00Z
2026-07-22 03:04:00,15.3,12.4,1026.2,NW,305,4,11,83,0.00,unknown,unknown,0.00,0.00,unknown,2026-07-22T02:04:00Z
2026-07-22 03:09:00,15.3,12.4,1026.1,NNW,334,4,8,83,0.00,unknown,unknown,0.00,0.00,unknown,2026-07-22T02:09:00Z
2026-07-22 03:14:00,15.2,12.5,1026.1,NNE,18,1,8,84,0.00,unknown,unknown,0.00,0.00,unknown,2026-07-22T02:14:00Z
2026-07-22 03:19:00,15.2,12.5,1026.3,WNW,303,1,6,84,0.00,unknown,unknown,0.00,0.00,unknown,2026-07-22T02:19:00Z
2026-07-22 03:24:00,15.2,12.5,1026.1,NW,318,4,8,84,0.00,unknown,unknown,0.00,0.00,unknown,2026-07-22T02:24:00Z
2026-07-22 03:29:00,15.3,12.6,1026.2,North,5,3,8,84,0.00,unknown,unknown,0.00,0.00,unknown,2026-07-22T02:29:00Z
2026-07-22 03:34:00,15.3,12.6,1026.2,NW,326,6,8,84,0.00,unknown,unknown,0.00,0.00,unknown,2026-07-22T02:34:00Z
2026-07-22 03:39:00,15.3,12.6,1026.2,North,354,4,11,84,0.00,unknown,unknown,0.00,0.00,unknown,2026-07-22T02:39:00Z
