Date,TemperatureHighC,TemperatureAvgC,TemperatureLowC,DewpointHighC,DewpointAvgC,DewpointLowC,HumidityHigh,HumidityAvg,HumidityLow,PressureMaxhPa,PressureMinhPa,WindSpeedMaxKMH,WindSpeedAvgKMH,GustSpeedMaxKMH,PrecipitationSumCM
2024-01-05,6.6,5.3,3.0,5.2,4.5,2.4,99,95,87,995,982,11,3,12,0.00
2024-01-06,5.1,2.2,0.1,4.4,1.9,-0.1,99,98,94,1009,995,12,2,12,0.15
2024-01-07,3.8,2.1,0.2,2.2,1.0,-0.9,99,93,81,1018,1008,11,2,11,0.03
2024-01-08,2.7,1.2,-2.1,0.1,-2.0,-3.9,99,80,63,1020,1018,11,2,19,0.03
2024-01-09,4.2,1.8,0.5,-1.7,-2.4,-3.1,79,74,65,1019,1017,16,3,26,0.00
2024-01-10,5.0,3.4,1.1,2.7,0.6,-2.2,87,82,77,1020,1016,12,3,22,0.00
2024-01-11,5.9,4.4,2.8,2.8,1.2,-0.4,82,80,77,1025,1019,12,3,17,0.00
2024-01-12,4.7,3.4,1.8,1.9,0.9,-0.1,88,84,80,1025,1015,14,3,17,0.00
2024-01-13,6.1,4.5,2.5,4.7,2.8,0.5,96,89,83,1015,1002,15,4,23,0.00
2024-01-14,5.3,3.0,0.8,2.8,0.7,-2.6,93,85,73,1002,995,21,4,24,0.00
2024-01-15,2.4,-0.5,-2.7,-0.9,-5.4,-7.9,88,71,47,997,994,20,4,26,0.03
2024-01-16,3.8,0.5,-3.3,-0.6,-2.4,-6.6,90,81,69,996,981,20,6,31,0.00
2024-01-17,1.8,-1.2,-6.3,-0.6,-3.6,-7.4,95,84,55,983,977,14,3,16,0.03
2024-01-18,2.7,-2.6,-7.2,-2.0,-5.3,-8.3,93,83,66,1001,983,13,3,16,0.00
2024-01-19,5.2,1.6,-0.9,-0.6,-2.5,-3.8,83,74,65,1005,1000,17,6,23,0.00
2024-01-20,5.6,3.8,0.6,2.3,0.3,-2.4,86,78,73,1005,992,25,6,30,0.18
2024-01-21,12.3,8.7,3.6,9.7,5.8,1.2,91,83,61,992,973,33,9,40,1.09
2024-01-22,11.8,7.5,5.3,8.1,2.2,0.2,83,69,57,1002,973,30,8,45,0.08
2024-01-23,13.5,7.7,3.3,10.7,4.3,0.4,90,79,62,1004,989,35,9,53,0.00
2024-01-24,11.0,8.0,2.0,5.4,2.7,0.5,91,70,56,1012,991,30,6,47,0.00
2024-01-25,11.6,8.1,1.9,10.0,6.7,0.7,94,91,84,1012,996,21,4,25,0.10
2024-01-26,11.5,6.6,3.5,10.1,1.6,-1.8,92,71,56,1016,995,26,7,44,0.25
2024-01-27,7.1,5.4,4.1,2.8,2.1,1.6,84,80,72,1016,1009,17,4,21,0.00
